Date,Close,High,Low,Open,Volume,Ticker,Name
2018-01-02,4.290182590484619,4.329784238168136,4.270381609279901,4.323184120917176,8969000,1023.KL,CIMB Group
2018-01-03,4.3099846839904785,4.3429859082139215,4.290183697675612,4.316584802944766,24822600,1023.KL,CIMB Group
2018-01-04,4.323183536529541,4.329783652888328,4.296782441642639,4.316583105444877,30095900,1023.KL,CIMB Group
2018-01-05,4.4221882820129395,4.4221882820129395,4.3297844332546385,4.3297844332546385,35194800,1023.KL,CIMB Group
2018-01-08,4.501392841339111,4.507992960274023,4.375987434315808,4.422189211038183,29909700,1023.KL,CIMB Group
2018-01-09,4.455190181732178,4.521192936294129,4.428789079907397,4.514592818200914,19028600,1023.KL,CIMB Group
2018-01-10,4.44858980178833,4.474991218652874,4.43538925071904,4.461790667583584,17519400,1023.KL,CIMB Group
2018-01-11,4.455190181732178,4.474991165463743,4.422188647088222,4.422188647088222,16372700,1023.KL,CIMB Group
2018-01-12,4.474991321563721,4.514592975682306,4.448589904092026,4.488191872936582,16607900,1023.KL,CIMB Group
2018-01-15,4.48159122467041,4.501392208141797,4.468390673931471,4.49479177540935,15789200,1023.KL,CIMB Group
2018-01-16,4.48159122467041,4.488191657402858,4.461790555924979,4.488191657402858,23597500,1023.KL,CIMB Group
2018-01-17,4.468390464782715,4.494791565024856,4.448589482238138,4.448589482238138,7927300,1023.KL,CIMB Group
2018-01-18,4.488191604614258,4.501392155197937,4.468390621375763,4.501392155197937,18744400,1023.KL,CIMB Group
2018-01-19,4.507991313934326,4.521191861709245,4.488190649634889,4.494790766159407,14689200,1023.KL,CIMB Group
2018-01-22,4.54759407043457,4.560794621440765,4.4749911972634795,4.521192968422181,13384700,1023.KL,CIMB Group
2018-01-23,4.55419397354126,4.560794090913628,4.521192442501643,4.55419397354126,13137800,1023.KL,CIMB Group
2018-01-24,4.587195873260498,4.600396424697793,4.547594218948614,4.554194652030247,9536400,1023.KL,CIMB Group
2018-01-25,4.633397579193115,4.646598129543627,4.5541942770900405,4.573994945252836,19724400,1023.KL,CIMB Group
2018-01-26,4.659798622131348,4.659798622131348,4.600395988927423,4.620196971570712,18305400,1023.KL,CIMB Group
2018-01-29,4.725801944732666,4.725801944732666,4.6531990672852395,4.666399619068952,16049400,1023.KL,CIMB Group
2018-01-30,4.785203456878662,4.857806631933868,4.686199184480819,4.70600016485075,20626900,1023.KL,CIMB Group
2018-02-02,4.785203456878662,4.785203456878662,4.686199184480819,4.785203456878662,25472700,1023.KL,CIMB Group
2018-02-05,4.679600238800049,4.706001342750814,4.587196060246383,4.679600238800049,30827300,1023.KL,CIMB Group
2018-02-06,4.534393310546875,4.567394843905093,4.422188474800071,4.5541942935069955,51183200,1023.KL,CIMB Group
2018-02-07,4.672999382019043,4.692800365550901,4.58059552656427,4.58059552656427,24675000,1023.KL,CIMB Group
2018-02-08,4.686199188232422,4.699399736914309,4.626796876526885,4.659798090868649,13157600,1023.KL,CIMB Group
2018-02-09,4.5277934074401855,4.633397815633229,4.52119297456514,4.560794627637531,22916400,1023.KL,CIMB Group
2018-02-12,4.55419397354126,4.600395739325614,4.534392991972305,4.560794090913628,18990700,1023.KL,CIMB Group
2018-02-13,4.55419397354126,4.600395739325614,4.534392991972305,4.567394523011922,13145800,1023.KL,CIMB Group
2018-02-14,4.593796253204346,4.613596922768262,4.547594166345262,4.560794717629862,12088500,1023.KL,CIMB Group
2018-02-15,4.626797676086426,4.6465983451680675,4.613596810397384,4.620197243241905,11733500,1023.KL,CIMB Group
2018-02-16,4.626797676086426,4.626797676086426,4.626797676086426,4.626797676086426,0,1023.KL,CIMB Group
2018-02-19,4.679600238800049,4.692800790775432,4.620197597547833,4.646598701498599,15307800,1023.KL,CIMB Group
2018-02-20,4.699400901794434,4.719201887088454,4.679600231226398,4.699400901794434,12147800,1023.KL,CIMB Group
2018-02-21,4.706001281738281,4.706001281738281,4.646598641256211,4.692800729934041,8969500,1023.KL,CIMB Group
2018-02-22,4.706001281738281,4.732402385346761,4.672999744864691,4.672999744864691,11139600,1023.KL,CIMB Group
2018-02-23,4.745603084564209,4.79840529342137,4.686200442236908,4.692800875707048,17214400,1023.KL,CIMB Group
2018-02-26,4.752203464508057,4.785205004220671,4.739002911568213,4.752203464508057,9627700,1023.KL,CIMB Group
2018-02-27,4.811605453491211,4.877608209183457,4.765403367143657,4.778603918282106,17675300,1023.KL,CIMB Group
2018-02-28,4.745603084564209,4.83140683132009,4.745603084564209,4.79180517467722,24171300,1023.KL,CIMB Group
2018-03-01,4.798404216766357,4.805004648755508,4.732401470504452,4.732401470504452,13940800,1023.KL,CIMB Group
2018-03-02,4.798404216766357,4.805004648755508,4.752202137020064,4.778603235524826,15072900,1023.KL,CIMB Group
2018-03-05,4.752203464508057,4.81160611010036,4.7060016865816054,4.8050059909934415,9523600,1023.KL,CIMB Group
2018-03-06,4.752203464508057,4.785205004220671,4.732402792461294,4.785205004220671,11337900,1023.KL,CIMB Group
2018-03-07,4.719202041625977,4.752203265228707,4.666399832080812,4.719202041625977,12317400,1023.KL,CIMB Group
2018-03-08,4.706001281738281,4.732402385346761,4.686200296668931,4.686200296668931,13847400,1023.KL,CIMB Group
2018-03-09,4.719202041625977,4.719202041625977,4.6729999509109605,4.719202041625977,10850200,1023.KL,CIMB Group
2018-03-12,4.798404216766357,4.811604766018738,4.745602019756833,4.758802569009214,23201900,1023.KL,CIMB Group
2018-03-13,4.785203456878662,4.805004437248593,4.77860302518005,4.798404005549981,13666500,1023.KL,CIMB Group
2018-03-14,4.7786030769348145,4.7918039404750115,4.765402528120527,4.785203508704913,8330700,1023.KL,CIMB Group
2018-03-15,4.7654032707214355,4.785204254391442,4.739002168978732,4.7654032707214355,22521900,1023.KL,CIMB Group
2018-03-16,4.7654032707214355,4.778603821592788,4.732402050906035,4.7654032707214355,18532500,1023.KL,CIMB Group
2018-03-19,4.791803359985352,4.798403476229988,4.758801834584556,4.758801834584556,13671800,1023.KL,CIMB Group
2018-03-20,4.752203464508057,4.798405557160516,4.752203464508057,4.752203464508057,20470900,1023.KL,CIMB Group
2018-03-21,4.8182053565979,4.8182053565979,4.765402843124475,4.791804257224153,30967400,1023.KL,CIMB Group
2018-03-22,4.811605453491211,4.83800655576811,4.798404902352762,4.818205886423418,18777900,1023.KL,CIMB Group
2018-03-23,4.758802890777588,4.811605091357355,4.626797389328172,4.7192012403427634,17600800,1023.KL,CIMB Group
2018-03-26,4.752203464508057,4.765404017447901,4.686200699808835,4.725802358628369,9440700,1023.KL,CIMB Group
2018-03-27,4.7786030769348145,4.798404057519201,4.75220197930624,4.7588024110763385,15602900,1023.KL,CIMB Group
2018-03-28,4.812160968780518,4.8591414144814005,4.758468847962203,4.792026263458508,15590400,1023.KL,CIMB Group
2018-03-29,4.805449962615967,4.832296026762287,4.798738606594551,4.812161638667711,14504600,1023.KL,CIMB Group
2018-03-30,4.8255839347839355,4.845718319807787,4.812160904757942,4.8255839347839355,13699700,1023.KL,CIMB Group
2018-04-02,4.832295894622803,4.852430602197122,4.78531544366659,4.8121615070788035,14507600,1023.KL,CIMB Group
2018-04-03,4.832295894622803,4.839007570491016,4.78531544366659,4.78531544366659,11246300,1023.KL,CIMB Group
2018-04-04,4.6309494972229,4.8255835782339425,4.523564944919038,4.77860281659911,22595600,1023.KL,CIMB Group
2018-04-05,4.704776763916016,4.758468885153983,4.684642058436635,4.698065088746127,12085100,1023.KL,CIMB Group
2018-04-06,4.7383341789245605,4.7383341789245605,4.604103875850891,4.704776763171286,10293700,1023.KL,CIMB Group
2018-04-09,4.711488246917725,4.731622952943529,4.671219154896412,4.731622952943529,12413700,1023.KL,CIMB Group
2018-04-10,4.724911212921143,4.738334243411191,4.698065151941046,4.711488182431094,15951000,1023.KL,CIMB Group
2018-04-11,4.832295894622803,4.839007570491016,4.731623316842165,4.7383346726800575,20633600,1023.KL,CIMB Group
2018-04-12,4.832295894622803,4.839007570491016,4.771892411960484,4.798738475372697,5947600,1023.KL,CIMB Group
2018-04-13,4.839007377624512,4.839007377624512,4.792026608510474,4.798738284111183,12587100,1023.KL,CIMB Group
2018-04-16,4.859141826629639,4.859141826629639,4.825584408287023,4.825584408287023,11596300,1023.KL,CIMB Group
2018-04-17,4.899411201477051,4.9195455883154136,4.832295725268353,4.832295725268353,17776200,1023.KL,CIMB Group
2018-04-18,4.899411201477051,4.939680295184084,4.872565139005696,4.899411201477051,10237500,1023.KL,CIMB Group
2018-04-19,4.906122207641602,4.919545237921225,4.872564791957685,4.919545237921225,8454600,1023.KL,CIMB Group
2018-04-20,4.899411201477051,4.9195455883154136,4.885988170241373,4.912834232712729,18438100,1023.KL,CIMB Group
2018-04-23,4.859141826629639,4.926257303375492,4.84571879528653,4.912834272032384,6660900,1023.KL,CIMB Group
2018-04-24,4.845718860626221,4.872565243704746,4.8188727975780115,4.865853567927536,10555000,1023.KL,CIMB Group
2018-04-25,4.812160968780518,4.839007029189675,4.765180203049351,4.832295354072244,5890000,1023.KL,CIMB Group
2018-04-26,4.832295894622803,4.839007570491016,4.771892411960484,4.8121615070788035,9368000,1023.KL,CIMB Group
2018-04-27,4.865853309631348,4.885988015863843,4.8255842171966545,4.8725649850522785,20253000,1023.KL,CIMB Group
2018-04-30,4.832295894622803,4.852430602197122,4.8121615070788035,4.845718926328909,10493200,1023.KL,CIMB Group
2018-05-02,4.724911212921143,4.812161071121603,4.644373029980851,4.7920263653713855,24519900,1023.KL,CIMB Group
2018-05-03,4.698064804077148,4.771891626321121,4.6309496565963855,4.698064804077148,23921800,1023.KL,CIMB Group
2018-05-04,4.543700218200684,4.698065231464294,4.543700218200684,4.6779305253732595,17663400,1023.KL,CIMB Group
2018-05-07,4.4765849113464355,4.543700062634856,4.463161881088752,4.543700062634856,22675000,1023.KL,CIMB Group
2018-05-08,4.6309494972229,4.718199345960334,4.463161474280262,4.483295857816435,40728800,1023.KL,CIMB Group
2018-05-14,4.3960466384887695,4.671218913070748,4.02691283402442,4.1611431338131215,124125000,1023.KL,CIMB Group
2018-05-15,4.530278205871582,4.550412916488818,4.396047868524572,4.396047868524572,40215300,1023.KL,CIMB Group
2018-05-16,4.5973920822143555,4.5973920822143555,4.44302707764224,4.5302769324069745,15482000,1023.KL,CIMB Group
2018-05-17,4.570545673370361,4.604103405727352,4.55041128998037,4.597391731243853,17710300,1023.KL,CIMB Group
2018-05-18,4.5638346672058105,4.590680727128057,4.510142227331039,4.570546022171233,17179300,1023.KL,CIMB Group
2018-05-21,4.429604530334473,4.563835164605404,4.416181498910411,4.563835164605404,14605000,1023.KL,CIMB Group
2018-05-22,4.463161945343018,4.483296331004267,4.389335117847759,4.429604209200549,9906900,1023.KL,CIMB Group
